cont_id,distance,relationship,setting,location_multi,location_fine_multi
20802,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20803,More than 2 meters,Friend or acquaintance,outdoor,Home,Home
20804,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20805,More than 2 meters,Friend or acquaintance,outdoor,Home,Home
20806,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20807,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20808,Between 1 and 2 meters,Friend or acquaintance,outdoor,Leisure,Homeguest
20809,More than 2 meters,Friend or acquaintance,indoor,Leisure,Homeguest
20810,,Friend or acquaintance,indoor,Leisure,Homeguest
20811,Less than 1 meter,Friend or acquaintance,indoor,Leisure,Homeguest
20812,Less than 1 meter,Friend or acquaintance,indoor,Leisure,Homeguest
20813,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20814,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20815,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20816,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20817,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20818,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Restaurant
20819,Between 1 and 2 meters,Friend or acquaintance,indoor,Work,Work
20820,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20821,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
20822,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Restaurant
20823,Between 1 and 2 meters,Friend or acquaintance,indoor,Work,Work
20824,Between 1 and 2 meters,Friend or acquaintance,indoor,Work,Work
20825,Between 1 and 2 meters,Friend or acquaintance,outdoor,Home,Home
20826,Pyshical contact,Friend or acquaintance,indoor,Home,Home
20827,Between 1 and 2 meters,Friend or acquaintance,indoor,Work,Work
20828,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20829,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
20830,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20831,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
20832,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20833,Between 1 and 2 meters,Non-cohabitant relative/family member,outdoor,Other,Otheroutdoor
20834,Less than 1 meter,Friend or acquaintance,indoor,Leisure,Homeguest
20835,Less than 1 meter,Friend or acquaintance,indoor,Leisure,Homeguest
20836,Pyshical contact,Non-cohabitant relative/family member,outdoor,Home,Home
20837,Pyshical contact,Cohabitant,indoor,Transport,Transport
20838,Pyshical contact,Friend or acquaintance,indoor,Leisure,Homeguest
20839,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Homeguest
20840,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20841,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
20842,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
20843,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Restaurant
20844,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
20845,Less than 1 meter,Friend or acquaintance,indoor,Transport,Transport
20846,Less than 1 meter,Coworker,outdoor,Other,Otheroutdoor
20847,Less than 1 meter,Coworker,indoor,Leisure,Restaurant
20848,Less than 1 meter,Friend or acquaintance,outdoor,Other,Otheroutdoor
20849,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20850,Less than 1 meter,Friend or acquaintance,outdoor,Other,Otheroutdoor
20851,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
20852,Less than 1 meter,Coworker,outdoor,Leisure,Homeguest
20853,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20854,Less than 1 meter,Friend or acquaintance,outdoor,Leisure,Homeguest
20855,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20856,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20857,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
20858,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20859,Pyshical contact,Other,outdoor,Leisure,Homeguest
20860,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Homeguest
20861,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20862,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20863,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20864,More than 2 meters,Friend or acquaintance,outdoor,Leisure,Homeguest
20865,,Coworker,outdoor,Transport,Transport
20866,,Friend or acquaintance,outdoor,Other,Otheroutdoor
20867,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
